item_original,nome,cor,status,cores_encontradas_no_site
VESTIDO FATIMA - VANILLA,VESTIDO FATIMA,VANILLA,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO FATIMA - PRETO,VESTIDO FATIMA,PRETO,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO FATIMA - BLUES,VESTIDO FATIMA,BLUES,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO FATIMA - JAZZ,VESTIDO FATIMA,JAZZ,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO FATIMA - VALSA,VESTIDO FATIMA,VALSA,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO FATIMA - SAMBA,VESTIDO FATIMA,SAMBA,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CAMISA GLORIA - MARINHO,CAMISA GLORIA,MARINHO,DISPONIVEL,MARINHO
MACACÃO DANY - VANILLA,MACACÃO DANY,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO DANY - PRETO,MACACÃO DANY,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO DANY - BLUES,MACACÃO DANY,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO DANY - BOSSA,MACACÃO DANY,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO DANY - JAZZ,MACACÃO DANY,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO DANY - VALSA,MACACÃO DANY,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
MACACÃO DANY - SAMBA,MACACÃO DANY,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT SERENA - JAZZ,SHORT SERENA,JAZZ,DISPONIVEL,JAZZ
SHORT SAIA LIA - VANILLA,SHORT SAIA LIA,VANILLA,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
SHORT SAIA LIA - CARAMELO,SHORT SAIA LIA,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
SHORT SAIA LIA - JAZZ,SHORT SAIA LIA,JAZZ,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
SHORT SAIA DEBORA - VALSA,SHORT SAIA DEBORA,VALSA,DISPONIVEL,"JAZZ, VALSA"
SHORT SAIA DEBORA - JAZZ,SHORT SAIA DEBORA,JAZZ,DISPONIVEL,"JAZZ, VALSA"
VESTIDO CHANTAL - JAZZ,VESTIDO CHANTAL,JAZZ,DISPONIVEL,JAZZ
CAMISA MELINA - VANILLA/VALSA,CAMISA MELINA,VANILLA/VALSA,DISPONIVEL,VANILLA/VALSA
SHORT SUSU - NUDE,SHORT SUSU,NUDE,DISPONIVEL,"NUDE, PRATA, VERDE"
SHORT SUSU - VERDE,SHORT SUSU,VERDE,DISPONIVEL,"NUDE, PRATA, VERDE"
SHORT SUSU - PRATA,SHORT SUSU,PRATA,DISPONIVEL,"NUDE, PRATA, VERDE"
CALÇA SUZANO - NUDE,CALÇA SUZANO,NUDE,COR_NAO_ENCONTRADA,"DOURADO, PRETO, VERDE"
CALÇA SUZANO - VERDE,CALÇA SUZANO,VERDE,DISPONIVEL,"DOURADO, PRETO, VERDE"
CALÇA SUZANO - PRATA,CALÇA SUZANO,PRATA,COR_NAO_ENCONTRADA,"DOURADO, PRETO, VERDE"
CALÇA KIRA - PEROLA,CALÇA KIRA,PEROLA,COR_NAO_ENCONTRADA,"DOURADO, PRETO, PÉROLA"
CALÇA KIRA - PRETO,CALÇA KIRA,PRETO,DISPONIVEL,"DOURADO, PRETO, PÉROLA"
CALÇA KIRA - DOURADO,CALÇA KIRA,DOURADO,DISPONIVEL,"DOURADO, PRETO, PÉROLA"
CALÇA SUSU - PEROLA,CALÇA SUSU,PEROLA,COR_NAO_ENCONTRADA,"DOURADO, PRETO, PÉROLA"
CALÇA SUSU - PRETO,CALÇA SUSU,PRETO,DISPONIVEL,"DOURADO, PRETO, PÉROLA"
CALÇA SUSU - DOURADO,CALÇA SUSU,DOURADO,DISPONIVEL,"DOURADO, PRETO, PÉROLA"
CALÇA ELISA - JAZZ,CALÇA ELISA,JAZZ,DISPONIVEL,JAZZ
CALÇA ISADORA - VANILLA,CALÇA ISADORA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA ISADORA - PRETO,CALÇA ISADORA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA ISADORA - BLUES,CALÇA ISADORA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA ISADORA - BOSSA,CALÇA ISADORA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA ISADORA - JAZZ,CALÇA ISADORA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA ISADORA - VALSA,CALÇA ISADORA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA ISADORA - SAMBA,CALÇA ISADORA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CAMISA ELISA - JAZZ,CAMISA ELISA,JAZZ,PRODUTO_NAO_ENCONTRADO,
SHORT JUDITE - VANILLA,SHORT JUDITE,VANILLA,DISPONIVEL,"PRETO, VANILLA"
SHORT JUDITE - PRETO,SHORT JUDITE,PRETO,DISPONIVEL,"PRETO, VANILLA"
SHORT SAIA MAIARA - VANILLA,SHORT SAIA MAIARA,VANILLA,DISPONIVEL,"PRETO, VANILLA"
SHORT SAIA MAIARA - PRETO,SHORT SAIA MAIARA,PRETO,DISPONIVEL,"PRETO, VANILLA"
SAIA CARPE - JAZZ,SAIA CARPE,JAZZ,DISPONIVEL,JAZZ
SAIA ISABEL - SAMBA,SAIA ISABEL,SAMBA,DISPONIVEL,SAMBA
CALÇA VITORIA - VANILLA,CALÇA VITORIA,VANILLA,DISPONIVEL,"BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA VITORIA - PRETO,CALÇA VITORIA,PRETO,DISPONIVEL,"BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA VITORIA - BOSSA,CALÇA VITORIA,BOSSA,DISPONIVEL,"BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA VITORIA - JAZZ,CALÇA VITORIA,JAZZ,DISPONIVEL,"BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA VITORIA - VALSA,CALÇA VITORIA,VALSA,DISPONIVEL,"BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA VITORIA - SAMBA,CALÇA VITORIA,SAMBA,DISPONIVEL,"BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SAIA ELISA - JAZZ,SAIA ELISA,JAZZ,DISPONIVEL,JAZZ
SHORT YASMIN - BOSSA,SHORT YASMIN,BOSSA,DISPONIVEL,"BOSSA, SAMBA"
SHORT YASMIN - SAMBA,SHORT YASMIN,SAMBA,DISPONIVEL,"BOSSA, SAMBA"
VESTIDO RENATA - SAMBA,VESTIDO RENATA,SAMBA,DISPONIVEL,SAMBA
TOP RAFAELA - SAMBA,TOP RAFAELA,SAMBA,DISPONIVEL,SAMBA
CALÇA FLAVIA - MARINHO,CALÇA FLAVIA,MARINHO,DISPONIVEL,MARINHO
CALÇA LISA - VANILLA,CALÇA LISA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA LISA - PRETO,CALÇA LISA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA LISA - BLUES,CALÇA LISA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA LISA - BOSSA,CALÇA LISA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA LISA - JAZZ,CALÇA LISA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA LISA - VALSA,CALÇA LISA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CALÇA LISA - SAMBA,CALÇA LISA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO IOHARA - VANILLA,VESTIDO IOHARA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO IOHARA - PRETO,VESTIDO IOHARA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO IOHARA - BLUES,VESTIDO IOHARA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO IOHARA - BOSSA,VESTIDO IOHARA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO IOHARA - JAZZ,VESTIDO IOHARA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO IOHARA - VALSA,VESTIDO IOHARA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
VESTIDO IOHARA - SAMBA,VESTIDO IOHARA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP YANA - BOSSA,TOP YANA,BOSSA,DISPONIVEL,"BOSSA, SAMBA"
TOP YANA - SAMBA,TOP YANA,SAMBA,DISPONIVEL,"BOSSA, SAMBA"
JAQUETA YASMIN - BOSSA,JAQUETA YASMIN,BOSSA,DISPONIVEL,"BOSSA, SAMBA"
JAQUETA YASMIN - SAMBA,JAQUETA YASMIN,SAMBA,DISPONIVEL,"BOSSA, SAMBA"
TOP ADRIANE - SAMBA,TOP ADRIANE,SAMBA,DISPONIVEL,SAMBA
CAMISA MELANIA - SAMBA,CAMISA MELANIA,SAMBA,DISPONIVEL,SAMBA
TOP ISIS - SAMBA,TOP ISIS,SAMBA,DISPONIVEL,"BEGE SUCRE, PRETO, SAMBA"
CAMISA LARISSA - LISTRADA,CAMISA LARISSA,LISTRADA,DISPONIVEL,"LISTRADA, VALSA, VANILLA"
CAMISA LARISSA - VALSA,CAMISA LARISSA,VALSA,DISPONIVEL,"LISTRADA, VALSA, VANILLA"
CAMISA LARISSA - VANILLA,CAMISA LARISSA,VANILLA,DISPONIVEL,"LISTRADA, VALSA, VANILLA"
TOP BRUNA - JAZZ,TOP BRUNA,JAZZ,DISPONIVEL,JAZZ
SHORT KELLY - VANILLA,SHORT KELLY,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT KELLY - PRETO,SHORT KELLY,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT KELLY - BLUES,SHORT KELLY,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT KELLY - BOSSA,SHORT KELLY,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT KELLY - JAZZ,SHORT KELLY,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT KELLY - VALSA,SHORT KELLY,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT KELLY - SAMBA,SHORT KELLY,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT LISA - VANILLA,SHORT LISA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT LISA - PRETO,SHORT LISA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT LISA - BLUES,SHORT LISA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT LISA - BOSSA,SHORT LISA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT LISA - JAZZ,SHORT LISA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT LISA - VALSA,SHORT LISA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT LISA - SAMBA,SHORT LISA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT ALANE - VANILLA,SHORT ALANE,VANILLA,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT ALANE - PRETO,SHORT ALANE,PRETO,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT ALANE - BLUES,SHORT ALANE,BLUES,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT ALANE - JAZZ,SHORT ALANE,JAZZ,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT ALANE - VALSA,SHORT ALANE,VALSA,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
SHORT ALANE - SAMBA,SHORT ALANE,SAMBA,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CAMISA FABIANA - VANILLA,CAMISA FABIANA,VANILLA,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
CAMISA FABIANA - CARAMELO,CAMISA FABIANA,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
CAMISA FABIANA - JAZZ,CAMISA FABIANA,JAZZ,DISPONIVEL,"CARAMELO, JAZZ, VANILLA"
CALÇA YANA - BOSSA,CALÇA YANA,BOSSA,DISPONIVEL,"BOSSA, SAMBA"
CALÇA YANA - SAMBA,CALÇA YANA,SAMBA,DISPONIVEL,"BOSSA, SAMBA"
COLETE SYLVELENA - BOSSA,COLETE SYLVELENA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
COLETE SYLVELENA - SAMBA,COLETE SYLVELENA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
CINTO ACACIA - CARAMELO,CINTO ACACIA,CARAMELO,DISPONIVEL,"CARAMELO, MARROM, PRETO"
CINTO ACACIA - MARROM,CINTO ACACIA,MARROM,DISPONIVEL,"CARAMELO, MARROM, PRETO"
CINTO ACACIA - PRETO,CINTO ACACIA,PRETO,DISPONIVEL,"CARAMELO, MARROM, PRETO"
CINTO ROCK - CARAMELO,CINTO ROCK,CARAMELO,DISPONIVEL,"CARAMELO, MARROM, PRETO"
CINTO ROCK - MARROM,CINTO ROCK,MARROM,DISPONIVEL,"CARAMELO, MARROM, PRETO"
CINTO ROCK - PRETO,CINTO ROCK,PRETO,DISPONIVEL,"CARAMELO, MARROM, PRETO"
VESTIDO MARIH - PRETO,VESTIDO MARIH,PRETO,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
VESTIDO MARIH - VALSA,VESTIDO MARIH,VALSA,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
VESTIDO MARIH - JAZZ,VESTIDO MARIH,JAZZ,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
VESTIDO MARIH - CARAMELO,VESTIDO MARIH,CARAMELO,DISPONIVEL,"CARAMELO, JAZZ, PRETO, VALSA"
CALÇA IRACI - VANILLA,CALÇA IRACI,VANILLA,DISPONIVEL,"PRETO, VANILLA"
CALÇA IRACI - PRETO,CALÇA IRACI,PRETO,DISPONIVEL,"PRETO, VANILLA"
CALÇA IRACEMA - BLUES,CALÇA IRACEMA,BLUES,PRODUTO_NAO_ENCONTRADO,
CALÇA IRACEMA - BOSSA,CALÇA IRACEMA,BOSSA,PRODUTO_NAO_ENCONTRADO,
CALÇA IRACEMA - JAZZ,CALÇA IRACEMA,JAZZ,PRODUTO_NAO_ENCONTRADO,
CALÇA IRACEMA - VALSA,CALÇA IRACEMA,VALSA,PRODUTO_NAO_ENCONTRADO,
CALÇA IRACEMA - SAMBA,CALÇA IRACEMA,SAMBA,PRODUTO_NAO_ENCONTRADO,
VESTIDO MALU - BOSSA,VESTIDO MALU,BOSSA,DISPONIVEL,"BOSSA, SAMBA"
VESTIDO MALU - SAMBA,VESTIDO MALU,SAMBA,DISPONIVEL,"BOSSA, SAMBA"
JAQUETA ELISA - JAZZ,JAQUETA ELISA,JAZZ,DISPONIVEL,JAZZ
VESTIDO GRAZIELE - VANILLA,VESTIDO GRAZIELE,VANILLA,DISPONIVEL,VANILLA
VESTIDO ELIZABETH - PRETO,VESTIDO ELIZABETH,PRETO,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA"
VESTIDO ELIZABETH - BLUES,VESTIDO ELIZABETH,BLUES,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA"
VESTIDO ELIZABETH - JAZZ,VESTIDO ELIZABETH,JAZZ,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA"
VESTIDO ELIZABETH - VALSA,VESTIDO ELIZABETH,VALSA,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA"
VESTIDO ELIZABETH - SAMBA,VESTIDO ELIZABETH,SAMBA,DISPONIVEL,"BLUES, JAZZ, PRETO, SAMBA, VALSA"
FAIXA MONROE - POÁ,FAIXA MONROE,POÁ,COR_NAO_ENCONTRADA,POA
VESTIDO SAMANTA - SAMBA,VESTIDO SAMANTA,SAMBA,DISPONIVEL,SAMBA
TOP DANIELE - VANILLA,TOP DANIELE,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP DANIELE - PRETO,TOP DANIELE,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP DANIELE - BOSSA,TOP DANIELE,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP DANIELE - JAZZ,TOP DANIELE,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP DANIELE - VALSA,TOP DANIELE,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP DANIELE - SAMBA,TOP DANIELE,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MARINA - VANILLA,TOP MARINA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MARINA - PRETO,TOP MARINA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MARINA - BOSSA,TOP MARINA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MARINA - JAZZ,TOP MARINA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MARINA - VALSA,TOP MARINA,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP MARINA - SAMBA,TOP MARINA,SAMBA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
TOP LAIANE - MARINHO,TOP LAIANE,MARINHO,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
TOP LAIANE - VANILLA,TOP LAIANE,VANILLA,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
TOP LAIANE - JAZZ,TOP LAIANE,JAZZ,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
TOP LAIANE - VALSA,TOP LAIANE,VALSA,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
TOP LAIANE - SAMBA,TOP LAIANE,SAMBA,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
TOP LAIANE - BLUES,TOP LAIANE,BLUES,DISPONIVEL,"BLUES, JAZZ, MARINHO, SAMBA, VALSA, VANILLA"
VESTIDO TAINA - VANILLA,VESTIDO TAINA,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, VANILLA"
VESTIDO TAINA - PRETO,VESTIDO TAINA,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, VANILLA"
VESTIDO TAINA - BOSSA,VESTIDO TAINA,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, VANILLA"
VESTIDO TAINA - BLUES,VESTIDO TAINA,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, VANILLA"
VESTIDO TAINA - JAZZ,VESTIDO TAINA,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, VANILLA"
REGATA BALIS - VANILLA,REGATA BALIS,VANILLA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
REGATA BALIS - PRETO,REGATA BALIS,PRETO,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
REGATA BALIS - BLUES,REGATA BALIS,BLUES,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
REGATA BALIS - BOSSA,REGATA BALIS,BOSSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
REGATA BALIS - JAZZ,REGATA BALIS,JAZZ,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
REGATA BALIS - VALSA,REGATA BALIS,VALSA,DISPONIVEL,"BLUES, BOSSA, JAZZ, PRETO, SAMBA, VALSA, VANILLA"
